ticket_id,user_id,order_id,issue_type,description,status,priority,created_at,resolved_at
TICKET_1761539505,user_075,ORD_20251222_0136,shipping,배송지 변경 가능한가요?,in_progress,low,2025-10-27T04:31:45.091709Z,
TICKET_1766377905,user_084,ORD_20251021_0190,shipping,언제 배송되나요?,closed,urgent,2025-12-22T04:31:45.091709Z,2025-12-22T04:31:45.091709Z
TICKET_1761453105,user_030,ORD_20251017_0158,shipping,배송지 변경 가능한가요?,in_progress,normal,2025-10-26T04:31:45.091709Z,
TICKET_1761885105,user_093,,product_inquiry,세탁 방법이 궁금합니다.,in_progress,urgent,2025-10-31T04:31:45.091709Z,
TICKET_1762835505,user_021,ORD_20251019_0444,refund,상품 불량으로 환불 요청합니다.,closed,normal,2025-11-11T04:31:45.091709Z,2025-11-13T04:31:45.091709Z
TICKET_1764822705,user_064,ORD_20251014_0344,order_inquiry,주문 상태가 궁금합니다.,closed,low,2025-12-04T04:31:45.091709Z,2025-12-04T04:31:45.091709Z
TICKET_1761971505,user_035,ORD_20251016_0152,product_inquiry,상품 사이즈 정보 알려주세요.,open,low,2025-11-01T04:31:45.091709Z,
TICKET_1765254705,user_015,ORD_20251222_0358,refund,색상이 사진과 달라서 환불해주세요.,closed,high,2025-12-09T04:31:45.091709Z,2025-12-14T04:31:45.091709Z
TICKET_1761798705,user_100,ORD_20251130_0271,exchange,색상 교환하고 싶습니다.,open,low,2025-10-30T04:31:45.091709Z,
TICKET_1765945905,user_057,,order_inquiry,주문 취소하고 싶습니다.,open,low,2025-12-17T04:31:45.091709Z,
TICKET_1761453105,user_022,ORD_20251010_0379,refund,단순 변심으로 환불하고 싶습니다.,closed,urgent,2025-10-26T04:31:45.091709Z,2025-10-30T04:31:45.091709Z
TICKET_1762921905,user_065,ORD_20251020_0482,order_inquiry,주문 내역 확인해주세요.,closed,low,2025-11-12T04:31:45.091709Z,2025-11-14T04:31:45.091709Z
TICKET_1765168305,user_057,,complaint,고객센터 연결이 안 됩니다.,in_progress,high,2025-12-08T04:31:45.091709Z,
TICKET_1764477105,user_022,ORD_20251120_0005,exchange,다른 상품으로 교환 가능한가요?,open,normal,2025-11-30T04:31:45.091709Z,
TICKET_1762057905,user_069,ORD_20251127_0209,order_inquiry,주문 내역 확인해주세요.,closed,urgent,2025-11-02T04:31:45.091709Z,2025-11-08T04:31:45.091709Z
TICKET_1761280305,user_067,,order_inquiry,결제가 제대로 됐는지 확인해주세요.,closed,low,2025-10-24T04:31:45.091709Z,2025-10-26T04:31:45.091709Z
TICKET_1764304305,user_068,ORD_20251212_0028,refund,주문한 상품과 다른 상품이 와서 환불 원합니다.,open,urgent,2025-11-28T04:31:45.091709Z,
TICKET_1761539505,user_099,ORD_20251021_0037,product_inquiry,상품 사이즈 정보 알려주세요.,closed,urgent,2025-10-27T04:31:45.091709Z,2025-10-31T04:31:45.091709Z
TICKET_1761453105,user_089,ORD_20251031_0414,product_inquiry,소재가 무엇인가요?,closed,normal,2025-10-26T04:31:45.091709Z,2025-10-30T04:31:45.091709Z
TICKET_1763094705,user_059,ORD_20251113_0363,refund,색상이 사진과 달라서 환불해주세요.,in_progress,high,2025-11-14T04:31:45.091709Z,
TICKET_1761625905,user_084,,shipping,배송 조회가 안 됩니다.,closed,high,2025-10-28T04:31:45.091709Z,2025-10-28T04:31:45.091709Z
TICKET_1765341105,user_094,ORD_20251214_0393,order_inquiry,결제가 제대로 됐는지 확인해주세요.,closed,high,2025-12-10T04:31:45.091709Z,2025-12-14T04:31:45.091709Z
TICKET_1763267505,user_021,ORD_20251111_0064,refund,색상이 사진과 달라서 환불해주세요.,closed,urgent,2025-11-16T04:31:45.091709Z,2025-11-20T04:31:45.091709Z
TICKET_1765081905,user_015,,product_inquiry,소재가 무엇인가요?,in_progress,low,2025-12-07T04:31:45.091709Z,
TICKET_1762403505,user_085,ORD_20251021_0103,shipping,택배사 연락처 알려주세요.,closed,normal,2025-11-06T04:31:45.091709Z,2025-11-11T04:31:45.091709Z
TICKET_1761798705,user_075,,shipping,택배사 연락처 알려주세요.,closed,high,2025-10-30T04:31:45.091709Z,2025-11-04T04:31:45.091709Z
TICKET_1763613105,user_093,ORD_20251205_0467,product_inquiry,세탁 방법이 궁금합니다.,open,high,2025-11-20T04:31:45.091709Z,
TICKET_1762576305,user_025,ORD_20251111_0322,shipping,배송 조회가 안 됩니다.,closed,low,2025-11-08T04:31:45.091709Z,2025-11-14T04:31:45.091709Z
TICKET_1766118705,user_056,ORD_20251026_0017,shipping,언제 배송되나요?,closed,urgent,2025-12-19T04:31:45.091709Z,2025-12-23T04:31:45.091709Z
TICKET_1763008305,user_068,ORD_20251103_0342,order_inquiry,주문 상태가 궁금합니다.,closed,urgent,2025-11-13T04:31:45.091709Z,2025-11-20T04:31:45.091709Z
TICKET_1763785905,user_055,ORD_20251018_0081,refund,단순 변심으로 환불하고 싶습니다.,open,low,2025-11-22T04:31:45.091709Z,
TICKET_1761280305,user_060,ORD_20250927_0121,refund,단순 변심으로 환불하고 싶습니다.,closed,urgent,2025-10-24T04:31:45.091709Z,2025-10-25T04:31:45.091709Z
TICKET_1765859505,user_049,ORD_20251006_0453,refund,단순 변심으로 환불하고 싶습니다.,closed,high,2025-12-16T04:31:45.091709Z,2025-12-21T04:31:45.091709Z
TICKET_1764217905,user_004,ORD_20251025_0243,refund,색상이 사진과 달라서 환불해주세요.,closed,high,2025-11-27T04:31:45.091709Z,2025-12-01T04:31:45.091709Z
TICKET_1764563505,user_096,ORD_20251006_0496,refund,색상이 사진과 달라서 환불해주세요.,closed,urgent,2025-12-01T04:31:45.091709Z,2025-12-01T04:31:45.091709Z
TICKET_1762144305,user_041,ORD_20251214_0464,shipping,배송지 변경 가능한가요?,closed,normal,2025-11-03T04:31:45.091709Z,2025-11-05T04:31:45.091709Z
TICKET_1761712305,user_060,ORD_20250927_0121,product_inquiry,상품 사이즈 정보 알려주세요.,open,urgent,2025-10-29T04:31:45.091709Z,
TICKET_1762403505,user_052,ORD_20251019_0320,shipping,언제 배송되나요?,closed,normal,2025-11-06T04:31:45.091709Z,2025-11-07T04:31:45.091709Z
TICKET_1763440305,user_075,ORD_20251207_0302,order_inquiry,결제가 제대로 됐는지 확인해주세요.,open,normal,2025-11-18T04:31:45.091709Z,
TICKET_1763353905,user_070,,shipping,배송이 너무 오래 걸립니다.,closed,low,2025-11-17T04:31:45.091709Z,2025-11-24T04:31:45.091709Z
TICKET_1762144305,user_070,ORD_20251116_0241,complaint,상담원 태도가 불친절했습니다.,closed,low,2025-11-03T04:31:45.091709Z,2025-11-10T04:31:45.091709Z
TICKET_1763785905,user_078,,exchange,사이즈 교환 부탁드립니다.,open,high,2025-11-22T04:31:45.091709Z,
TICKET_1764390705,user_055,ORD_20251018_0081,order_inquiry,결제가 제대로 됐는지 확인해주세요.,closed,low,2025-11-29T04:31:45.091709Z,2025-11-30T04:31:45.091709Z
TICKET_1765686705,user_038,ORD_20251127_0048,refund,상품 불량으로 환불 요청합니다.,closed,normal,2025-12-14T04:31:45.091709Z,2025-12-20T04:31:45.091709Z
TICKET_1764822705,user_043,ORD_20251114_0082,refund,상품 불량으로 환불 요청합니다.,closed,normal,2025-12-04T04:31:45.091709Z,2025-12-09T04:31:45.091709Z
TICKET_1766205105,user_043,ORD_20251123_0100,exchange,사이즈 교환 부탁드립니다.,closed,urgent,2025-12-20T04:31:45.091709Z,2025-12-21T04:31:45.091709Z
TICKET_1766205105,user_066,ORD_20251127_0491,complaint,상담원 태도가 불친절했습니다.,closed,low,2025-12-20T04:31:45.091709Z,2025-12-23T04:31:45.091709Z
TICKET_1764995505,user_054,ORD_20251122_0330,refund,상품 불량으로 환불 요청합니다.,closed,normal,2025-12-06T04:31:45.091709Z,2025-12-07T04:31:45.091709Z
TICKET_1764045105,user_085,ORD_20251112_0201,exchange,다른 상품으로 교환 가능한가요?,closed,normal,2025-11-25T04:31:45.091709Z,2025-11-28T04:31:45.091709Z
TICKET_1761453105,user_022,ORD_20251203_0499,refund,사이즈가 맞지 않아 환불 신청합니다.,closed,low,2025-10-26T04:31:45.091709Z,2025-10-26T04:31:45.091709Z
TICKET_1766464305,user_080,,exchange,색상 교환하고 싶습니다.,closed,high,2025-12-23T04:31:45.091709Z,2025-12-23T04:31:45.091709Z
TICKET_1763267505,user_089,ORD_20251031_0414,complaint,환불 처리가 너무 늦습니다.,in_progress,low,2025-11-16T04:31:45.091709Z,
TICKET_1764304305,user_070,ORD_20251027_0361,refund,상품 불량으로 환불 요청합니다.,open,high,2025-11-28T04:31:45.091709Z,
TICKET_1761625905,user_027,,product_inquiry,소재가 무엇인가요?,in_progress,high,2025-10-28T04:31:45.091709Z,
TICKET_1762835505,user_091,,shipping,배송 조회가 안 됩니다.,in_progress,normal,2025-11-11T04:31:45.091709Z,
TICKET_1762921905,user_078,ORD_20251124_0172,refund,단순 변심으로 환불하고 싶습니다.,in_progress,low,2025-11-12T04:31:45.091709Z,
TICKET_1761539505,user_087,,refund,색상이 사진과 달라서 환불해주세요.,in_progress,urgent,2025-10-27T04:31:45.091709Z,
TICKET_1762749105,user_085,ORD_20251021_0103,shipping,언제 배송되나요?,closed,high,2025-11-10T04:31:45.091709Z,2025-11-16T04:31:45.091709Z
TICKET_1763958705,user_100,ORD_20251101_0273,complaint,고객센터 연결이 안 됩니다.,closed,urgent,2025-11-24T04:31:45.091709Z,2025-11-27T04:31:45.091709Z
TICKET_1765427505,user_097,ORD_20251031_0134,order_inquiry,결제가 제대로 됐는지 확인해주세요.,closed,normal,2025-12-11T04:31:45.091709Z,2025-12-15T04:31:45.091709Z
TICKET_1761539505,user_065,ORD_20251102_0195,refund,사이즈가 맞지 않아 환불 신청합니다.,open,low,2025-10-27T04:31:45.091709Z,
TICKET_1763353905,user_083,ORD_20251130_0198,refund,주문한 상품과 다른 상품이 와서 환불 원합니다.,closed,normal,2025-11-17T04:31:45.091709Z,2025-11-19T04:31:45.091709Z
TICKET_1766118705,user_074,ORD_20251023_0456,product_inquiry,상품 사이즈 정보 알려주세요.,closed,normal,2025-12-19T04:31:45.091709Z,2025-12-19T04:31:45.091709Z
TICKET_1765427505,user_074,ORD_20251003_0135,order_inquiry,결제가 제대로 됐는지 확인해주세요.,open,high,2025-12-11T04:31:45.091709Z,
TICKET_1761798705,user_060,ORD_20251116_0040,complaint,고객센터 연결이 안 됩니다.,in_progress,urgent,2025-10-30T04:31:45.091709Z,
TICKET_1762317105,user_089,ORD_20251031_0414,shipping,택배사 연락처 알려주세요.,closed,low,2025-11-05T04:31:45.091709Z,2025-11-08T04:31:45.091709Z
TICKET_1764304305,user_055,ORD_20251016_0413,shipping,배송이 너무 오래 걸립니다.,closed,low,2025-11-28T04:31:45.091709Z,2025-11-29T04:31:45.091709Z
TICKET_1766118705,user_029,,complaint,약속한 배송일이 지났는데 아직 안 왔습니다.,open,normal,2025-12-19T04:31:45.091709Z,
TICKET_1763872305,user_009,ORD_20251109_0200,product_inquiry,이 상품 재입고 언제 되나요?,closed,high,2025-11-23T04:31:45.091709Z,2025-11-23T04:31:45.091709Z
TICKET_1764649905,user_032,,refund,단순 변심으로 환불하고 싶습니다.,in_progress,normal,2025-12-02T04:31:45.091709Z,
TICKET_1762317105,user_100,,shipping,언제 배송되나요?,closed,low,2025-11-05T04:31:45.091709Z,2025-11-12T04:31:45.091709Z
TICKET_1762144305,user_008,ORD_20251012_0093,exchange,사이즈 교환 부탁드립니다.,closed,low,2025-11-03T04:31:45.091709Z,2025-11-10T04:31:45.091709Z
TICKET_1763440305,user_082,ORD_20251114_0118,refund,상품 불량으로 환불 요청합니다.,closed,urgent,2025-11-18T04:31:45.091709Z,2025-11-24T04:31:45.091709Z
TICKET_1762144305,user_098,ORD_20251212_0290,refund,색상이 사진과 달라서 환불해주세요.,open,urgent,2025-11-03T04:31:45.091709Z,
TICKET_1763958705,user_056,ORD_20251026_0017,exchange,사이즈 교환 부탁드립니다.,closed,low,2025-11-24T04:31:45.091709Z,2025-11-27T04:31:45.091709Z
TICKET_1761539505,user_078,ORD_20251128_0274,refund,단순 변심으로 환불하고 싶습니다.,closed,high,2025-10-27T04:31:45.091709Z,2025-10-31T04:31:45.091709Z
TICKET_1765773105,user_094,ORD_20251219_0332,shipping,배송 조회가 안 됩니다.,open,normal,2025-12-15T04:31:45.091709Z,
TICKET_1764822705,user_057,ORD_20250927_0446,complaint,상담원 태도가 불친절했습니다.,closed,normal,2025-12-04T04:31:45.091709Z,2025-12-06T04:31:45.091709Z
TICKET_1763613105,user_079,ORD_20250927_0235,exchange,사이즈 교환 부탁드립니다.,closed,low,2025-11-20T04:31:45.091709Z,2025-11-22T04:31:45.091709Z
TICKET_1765427505,user_073,ORD_20251006_0079,shipping,배송 조회가 안 됩니다.,open,low,2025-12-11T04:31:45.091709Z,
TICKET_1763181105,user_087,ORD_20251209_0449,product_inquiry,세탁 방법이 궁금합니다.,in_progress,high,2025-11-15T04:31:45.091709Z,
TICKET_1763785905,user_021,ORD_20251111_0064,shipping,배송이 너무 오래 걸립니다.,closed,normal,2025-11-22T04:31:45.091709Z,2025-11-22T04:31:45.091709Z
TICKET_1762403505,user_061,ORD_20250930_0334,refund,사이즈가 맞지 않아 환불 신청합니다.,in_progress,urgent,2025-11-06T04:31:45.091709Z,
TICKET_1764563505,user_024,ORD_20251117_0166,exchange,사이즈 교환 부탁드립니다.,closed,normal,2025-12-01T04:31:45.091709Z,2025-12-02T04:31:45.091709Z
TICKET_1765427505,user_025,ORD_20251111_0322,refund,상품 불량으로 환불 요청합니다.,closed,normal,2025-12-11T04:31:45.091709Z,2025-12-13T04:31:45.091709Z
TICKET_1765168305,user_093,,refund,색상이 사진과 달라서 환불해주세요.,closed,normal,2025-12-08T04:31:45.091709Z,2025-12-08T04:31:45.091709Z
TICKET_1764390705,user_013,,refund,단순 변심으로 환불하고 싶습니다.,open,high,2025-11-29T04:31:45.091709Z,
TICKET_1762057905,user_040,,shipping,배송지 변경 가능한가요?,closed,urgent,2025-11-02T04:31:45.091709Z,2025-11-04T04:31:45.091709Z
TICKET_1762144305,user_009,,refund,단순 변심으로 환불하고 싶습니다.,closed,high,2025-11-03T04:31:45.091709Z,2025-11-09T04:31:45.091709Z
TICKET_1761798705,user_056,ORD_20251026_0017,complaint,환불 처리가 너무 늦습니다.,closed,high,2025-10-30T04:31:45.091709Z,2025-11-01T04:31:45.091709Z
TICKET_1765341105,user_082,ORD_20251114_0118,order_inquiry,주문 상태가 궁금합니다.,in_progress,low,2025-12-10T04:31:45.091709Z,
TICKET_1763785905,user_051,ORD_20251114_0339,order_inquiry,결제가 제대로 됐는지 확인해주세요.,closed,high,2025-11-22T04:31:45.091709Z,2025-11-24T04:31:45.091709Z
TICKET_1763872305,user_069,ORD_20251102_0338,shipping,언제 배송되나요?,closed,low,2025-11-23T04:31:45.091709Z,2025-11-29T04:31:45.091709Z
TICKET_1765341105,user_026,ORD_20251106_0301,order_inquiry,주문 상태가 궁금합니다.,closed,normal,2025-12-10T04:31:45.091709Z,2025-12-16T04:31:45.091709Z
TICKET_1765773105,user_048,,exchange,사이즈 교환 부탁드립니다.,in_progress,urgent,2025-12-15T04:31:45.091709Z,
TICKET_1764649905,user_030,ORD_20251018_0153,shipping,택배사 연락처 알려주세요.,closed,urgent,2025-12-02T04:31:45.091709Z,2025-12-09T04:31:45.091709Z
TICKET_1765513905,user_065,ORD_20251102_0195,exchange,사이즈 교환 부탁드립니다.,closed,low,2025-12-12T04:31:45.091709Z,2025-12-16T04:31:45.091709Z
TICKET_1762144305,user_011,ORD_20251025_0224,order_inquiry,주문 취소하고 싶습니다.,closed,low,2025-11-03T04:31:45.091709Z,2025-11-06T04:31:45.091709Z
TICKET_1765427505,user_048,ORD_20251113_0023,shipping,배송지 변경 가능한가요?,in_progress,high,2025-12-11T04:31:45.091709Z,
